run_utc,dataset,rows_added,rows_total,conflicts
2026-08-02T09:28:51+00:00,indices,225,225,0
2026-08-02T09:28:51+00:00,ticker_history,1120,1120,0
2026-08-02T09:28:51+00:00,securities,438,438,0
2026-08-02T16:59:36+00:00,indices,0,3830,0
2026-08-02T16:59:36+00:00,market_summary,0,224,0
2026-08-02T16:59:36+00:00,securities,0,876,0
2026-08-02T16:59:36+00:00,today_price,5654,11282,0
2026-08-03T16:59:38+00:00,indices,17,3847,0
2026-08-03T16:59:38+00:00,market_summary,1,225,0
2026-08-03T16:59:38+00:00,securities,439,1315,0
2026-08-03T16:59:38+00:00,today_price,5609,16891,0
2026-08-04T03:51:07+00:00,indices,0,3847,0
2026-08-04T03:51:07+00:00,market_summary,0,225,0
2026-08-04T03:51:07+00:00,securities,439,1754,0
2026-08-04T03:51:07+00:00,today_price,5081,21972,0
2026-08-04T04:53:37+00:00,indices,0,3847,0
2026-08-04T04:53:37+00:00,market_summary,0,225,0
2026-08-04T04:53:37+00:00,securities,0,1754,0
2026-08-04T04:53:37+00:00,today_price,4532,31677,0
2026-08-04T05:48:19+00:00,indices,16,3863,0
2026-08-04T05:48:19+00:00,market_summary,1,226,0
2026-08-04T05:48:19+00:00,securities,0,1754,0
2026-08-04T05:48:19+00:00,today_price,4648,36325,0
2026-08-04T06:43:00+00:00,indices,1,3864,16
2026-08-04T06:43:00+00:00,market_summary,0,226,1
2026-08-04T06:43:00+00:00,securities,0,1754,0
2026-08-04T06:43:00+00:00,today_price,5126,41451,0
2026-08-04T10:40:22+00:00,indices,0,3864,17
2026-08-04T10:40:22+00:00,market_summary,0,226,1
2026-08-04T10:40:22+00:00,securities,0,1754,0
2026-08-04T10:40:22+00:00,today_price,5159,46610,0
2026-08-04T11:35:07+00:00,indices,0,3864,17
2026-08-04T11:35:07+00:00,market_summary,0,226,1
2026-08-04T11:35:07+00:00,securities,0,1754,0
2026-08-04T11:35:07+00:00,today_price,4993,51603,0
2026-08-04T13:20:25+00:00,indices,0,3864,17
2026-08-04T13:20:25+00:00,market_summary,0,226,1
2026-08-04T13:20:25+00:00,securities,0,1754,0
2026-08-04T13:20:25+00:00,today_price,4943,56546,0
2026-08-04T14:52:41+00:00,indices,0,3864,17
2026-08-04T14:52:41+00:00,market_summary,0,226,1
2026-08-04T14:52:41+00:00,securities,2,1756,1
2026-08-04T14:52:41+00:00,today_price,5011,61557,0
2026-08-04T16:23:34+00:00,indices,0,3864,17
2026-08-04T16:23:34+00:00,market_summary,0,226,1
2026-08-04T16:23:34+00:00,securities,0,1756,1
2026-08-04T16:23:34+00:00,today_price,5020,66577,0
2026-08-04T16:36:39+00:00,indices,0,3864,17
2026-08-04T16:36:39+00:00,market_summary,0,226,1
2026-08-04T16:36:39+00:00,securities,0,1756,1
2026-08-04T16:36:39+00:00,today_price,4972,71549,0
2026-08-04T16:49:36+00:00,indices,0,3864,17
2026-08-04T16:49:36+00:00,market_summary,0,226,1
2026-08-04T16:49:36+00:00,securities,0,1756,1
2026-08-04T16:49:36+00:00,today_price,3615,75164,0
2026-08-04T17:15:19+00:00,indices,0,3864,17
2026-08-04T17:15:19+00:00,market_summary,0,226,1
2026-08-04T17:15:19+00:00,securities,0,1756,1
2026-08-04T17:15:19+00:00,today_price,0,75164,0
2026-08-04T17:41:01+00:00,indices,0,3864,17
2026-08-04T17:41:01+00:00,market_summary,0,226,1
2026-08-04T17:41:01+00:00,securities,0,1756,1
2026-08-04T17:41:01+00:00,today_price,0,75164,0
2026-08-05T11:30:36+00:00,indices,17,3881,17
2026-08-05T11:30:36+00:00,market_summary,1,227,1
2026-08-05T11:30:36+00:00,securities,441,2197,0
2026-08-05T11:30:36+00:00,today_price,350,75514,0
2026-08-05T16:30:35+00:00,indices,0,3881,17
2026-08-05T16:30:35+00:00,market_summary,0,227,1
2026-08-05T16:30:35+00:00,securities,0,2197,2
2026-08-05T16:30:35+00:00,today_price,0,75514,0
2026-08-06T11:30:36+00:00,indices,17,3898,17
2026-08-06T11:30:36+00:00,market_summary,1,228,1
2026-08-06T11:30:36+00:00,securities,441,2638,0
2026-08-06T11:30:36+00:00,today_price,347,75861,0
2026-08-06T16:30:35+00:00,indices,0,3898,17
2026-08-06T16:30:35+00:00,market_summary,0,228,1
2026-08-06T16:30:35+00:00,securities,1,2639,0
2026-08-06T16:30:35+00:00,today_price,0,75861,0
2026-08-07T11:30:37+00:00,indices,17,3915,17
2026-08-07T11:30:37+00:00,market_summary,1,229,1
2026-08-07T11:30:37+00:00,securities,442,3081,0
2026-08-07T11:30:37+00:00,today_price,334,76195,0
2026-08-07T16:30:34+00:00,indices,0,3915,17
2026-08-07T16:30:34+00:00,market_summary,0,229,1
2026-08-07T16:30:34+00:00,securities,0,3081,1
2026-08-07T16:30:34+00:00,today_price,0,76195,0
2026-08-08T16:30:35+00:00,indices,0,3915,17
2026-08-08T16:30:35+00:00,market_summary,0,229,1
2026-08-08T16:30:35+00:00,securities,442,3523,0
2026-08-08T16:30:35+00:00,today_price,0,76195,0
2026-08-09T06:54:01+00:00,headlines,42,42,0
2026-08-09T06:54:09+00:00,headlines,0,42,42
2026-08-09T06:55:13+00:00,headlines,42,42,0
2026-08-09T06:55:22+00:00,headlines,0,42,0
2026-08-09T12:34:25+00:00,indices,0,3915,17
2026-08-09T12:34:25+00:00,market_summary,0,229,1
2026-08-09T12:34:25+00:00,securities,442,3965,0
2026-08-09T12:34:25+00:00,today_price,0,76195,0
2026-08-09T16:30:35+00:00,indices,0,3915,17
2026-08-09T16:30:35+00:00,market_summary,0,229,1
2026-08-09T16:30:35+00:00,securities,0,3965,0
2026-08-09T16:30:35+00:00,today_price,0,76195,0
2026-08-09T19:01:08+00:00,indices,0,3915,0
2026-08-09T19:01:08+00:00,market_summary,0,229,0
2026-08-09T19:30:19+00:00,sentiment,16,16,0
2026-08-09T19:31:38+00:00,sentiment,16,32,0
2026-08-09T19:56:44+00:00,corporate_actions,171,171,0
2026-08-09T19:56:44+00:00,company_info,645,645,0
2026-08-09T20:06:44+00:00,fundamentals,6,6,0
2026-08-09T20:06:44+00:00,dividend_history,28,28,0
2026-08-10T10:24:21+00:00,indices,17,3932,0
2026-08-10T10:24:21+00:00,market_summary,1,230,0
2026-08-10T10:24:21+00:00,securities,442,4407,0
2026-08-10T10:24:21+00:00,today_price,352,76547,0
2026-08-10T10:28:13+00:00,indices,0,3932,0
2026-08-10T10:28:13+00:00,market_summary,0,230,0
2026-08-10T10:28:13+00:00,securities,0,4407,0
2026-08-10T10:28:13+00:00,today_price,0,76547,0
2026-08-10T10:48:09+00:00,indices,0,3932,0
2026-08-10T10:48:09+00:00,market_summary,0,230,0
2026-08-10T10:48:09+00:00,securities,0,4407,0
2026-08-10T10:48:09+00:00,today_price,0,76547,0
2026-08-10T14:36:07+00:00,indices,0,3932,0
2026-08-10T14:36:07+00:00,market_summary,0,230,0
2026-08-10T14:36:07+00:00,securities,1,4408,0
2026-08-10T14:36:07+00:00,today_price,0,76547,0
2026-08-11T10:34:56+00:00,indices,17,3949,0
2026-08-11T10:34:56+00:00,market_summary,1,231,0
