symbol,companyName,securityName,sectorName,instrumentType,regulatoryBody,status,snapshot_date
ACEDBL,Ace Development Bank Ltd.,Ace Development Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
ACLBSL,Aarambha Chautari Laghubitta Bittya Sanstha Limited,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
ADBL,Agricultural Development Bank Limited,Agricultural Development Bank Limited,Commercial Banks,Equity,Nepal Rastra Bank,A,2026-08-09
ADBLB,Agricultural Development Bank Limited,4% Agricultural Bond,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
ADBLB86,Agricultural Development Bank Limited,Agricultural Bond (8 Year),Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
ADBLB87,Agricultural Development Bank Limited,Agricultural Bond (9 Year),Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
ADBLD83,Agricultural Development Bank Limited,10.35% Agricultural Bank Debenture 2083,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,Adarsha Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,D,2026-08-09
AEFL,Alpic Everest Finance Co. Ltd.,Alpic Everest Finance Co. Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
AFL,Api Finance Limited,Api Finance Limited,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
AHL,Asian Hydropower Limited,Asian Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
AHPC,Arun Valley Hydropower Development Company Limited,Arun Valley Hydropower Development Co. Ltd.,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
AIL,Ajod Insurance Ltd,Ajod Insurance Limited,Non Life Insurance,Equity,Nepal Insurance Board,D,2026-08-09
AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,Adhikhola Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,D,2026-08-09
AKJCL,Ankhu Khola Jalvidhyut Company Limited,Ankhu Khola Jalvidhyut Company Ltd,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
AKPL,Arun Kabeli Power Ltd.,Arun Kabeli Power Ltd.,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd.,Asha Laghubitta Bittiya Sanstha Ltd,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
ALDBL,Alpine Development Bank Limited,Alpine Development Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
ALICL,Asian Life Insurance Co Limited,Asian Life Insurance Co. Limited,Life Insurance,Equity,Nepal Insurance Board,A,2026-08-09
AMFI,Arambha Microfinance Bittiya Sanstha Ltd.,Arambha Microfinance Bittiya Sanstha Ltd.,Microfinance,Equity,Nepal Rastra Bank,D,2026-08-09
ANLB,Aatmanirbhar Laghubitta Bittitya Sanstha Limited,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
APEX,Apex Development Bank Ltd.,Apex Development Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
APHL,Appolo Hydropower Limited,Appolo Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
API,API POWER COMPANY LIMITED,Api Power Company Ltd.,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
ARDBL,Araniko Development Bank Limited,Araniko Development Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
AVU,Arun Vanaspati Udhyog Limited,Arun Vanaspati Udhyog Limited,Manufacturing And Processing,Equity,Department of Industry,S,2026-08-09
AVYAN,Aviyan laghubittya bittiya sanstha limited,Aviyan Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
AXIS,Axis Development Bank Limited,Axis Development Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
BANDIPUR,Bandipur Cable Car and Tourism Limited,Bandipur Cablecar and Tourism Limited,Hotels And Tourism,Equity,Ministry of Tourism,A,2026-08-09
BARUN,Barun Hydropower Co. Ltd.,Barun Hydropower Co. Ltd.,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
BBBL,Bhrikuti Vikash Bank Limited,Bhrikuti Vikash Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
BBBLN,Bagheshwori Development Bank Limited,Bagheshwori Development Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
BBC,Bishal Bazar Company Limited,Bishal Bazar Company Limited,Tradings,Equity,Department of Industry,A,2026-08-09
BEDC,Bhugol Energy Development Company Ltd,Bhugol Energy Development Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
BFC,Best Finance Company Ltd.,Best Finance Company Ltd.,Finance,Equity,Nepal Rastra Bank,A,2026-08-09
BFCL,Bhaktapur Finance Co. Ltd.,Bhaktapur Finance Co. Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
BFIL,Bhajuratna Finance & Saving Co. Ltd.,Bhajuratna Finance & Saving Co. Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
BGDBL,Bagmati Development Bank Ltd.,Bagmati Development Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
BGWT,Bhagawati Hyropower Development Company Ltd.,Bhagawati Hydropower Development Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
BHBL,Bhargav Bikash Bank Ltd.,Bhargav Bikash Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
BHCL,Bikash Hydropower Company Ltd,Bikash Hydropower Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
BHDC,Bindhyabasini Hydropower Development Company Limited,Bindhyabasini Hydropower Development Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
BHL,Balephi Hydropower Limited,Balephi Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
BHPL,Barahi Hydropower Public Limited,Barahi Hydropower Public Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
BJFL,Birgunj Finance Ltd.,Birgunj Finance Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
BJHL,Bhujung Hydropower Limited,Bhujung Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
BJM,Biratnagar Jute Mills Limited,Biratnagar Jute Mills Limited,Manufacturing And Processing,Equity,Department of Industry,D,2026-08-09
BLDBL,Biratlaxmi Bikas Bank Limited,Biratlaxmi Bikas Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
BNHC,Buddha bhumi nepal hydro power company limited,Buddha Bhumi Nepal Hydropower Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
BNL,Bottlers Nepal (Balaju) Limited,Bottlers Nepal (Balaju) Limited,Manufacturing And Processing,Equity,Department of Industry,A,2026-08-09
BNT,Bottlers Nepal (Terai) Limited,Bottlers Nepal (Terai) Limited,Manufacturing And Processing,Equity,Department of Industry,A,2026-08-09
BOAN,Bank of Asia Nepal Limited,Bank of Asia Nepal Limited,Commercial Banks,Equity,Nepal Rastra Bank,D,2026-08-09
BOKD2079,Bank of Kathmandu Ltd.,8% BOK Debenture 2079,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,D,2026-08-09
BOKD86,Bank of Kathmandu Ltd.,8.5% BOK Debenture 2086,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
BOKD86KA,Bank of Kathmandu Ltd.,"BOK Debenture 2086 ""KA""",Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
BOKL,Bank of Kathmandu Ltd.,Bank of Kathmandu Ltd.,Commercial Banks,Equity,Nepal Rastra Bank,D,2026-08-09
BPCL,Butwal Power Company Limited,Butwal Power Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
