symbol,ex_date,factor,prior_close,restated_close,implied_pct,kind
LVF2,2025-08-11,0.8622589531680441,10.89,9.39,-0.137741,unknown
RFPL,2025-08-11,0.5783224998042134,638.45,369.23,-0.421678,unknown
SBCF,2025-08-11,0.8342059336823735,11.46,9.56,-0.165794,unknown
CITY,2025-08-12,0.6017999271705768,961.15,578.42,-0.3982,unknown
LUK,2025-08-19,0.8306519898391194,11.81,9.81,-0.169348,unknown
SFEF,2025-08-19,0.8696911196911197,10.36,9.01,-0.130309,unknown
SFMF,2025-08-19,0.8714416896235078,10.89,9.49,-0.128558,unknown
SAGF,2025-08-24,0.8542435424354243,10.84,9.26,-0.145756,unknown
SEF,2025-08-24,0.8257839721254355,11.48,9.48,-0.174216,unknown
SIGS2,2025-08-24,0.826539462272333,11.53,9.53,-0.173461,unknown
SIGS3,2025-08-24,0.8457350272232306,11.02,9.32,-0.154265,unknown
SLCF,2025-08-24,0.8203592814371258,11.69,9.59,-0.179641,unknown
KDBY,2025-08-25,0.8960396039603962,10.1,9.05,-0.10396,unknown
KEF,2025-08-25,0.8856858846918488,10.06,8.91,-0.114314,unknown
NABBC,2025-08-25,0.5374106909063704,1336.65,718.33,-0.462589,unknown
RMF1,2025-08-25,0.8231653404067197,11.31,9.31,-0.176835,unknown
RMF2,2025-08-25,0.8730468749999999,10.24,8.94,-0.126953,unknown
C30MF,2025-08-31,0.8751229105211407,10.17,8.9,-0.124877,unknown
HATHY,2025-08-31,0.8928585612276506,1258.99,1124.1,-0.107141,unknown
NMB50,2025-08-31,0.8686514886164624,11.42,9.92,-0.131349,unknown
NSIF2,2025-08-31,0.8681898066783832,11.38,9.88,-0.13181,unknown
PSF,2025-08-31,0.896551724137931,11.6,10.4,-0.103448,unknown
NBF2,2025-09-07,0.879740980573543,10.81,9.51,-0.120259,unknown
NBF3,2025-09-07,0.877474081055608,10.61,9.31,-0.122526,unknown
GIBF1,2025-09-18,0.891500904159132,11.06,9.86,-0.108499,unknown
MBL,2025-09-18,0.9615493014454242,248.37,238.82,-0.038451,unknown
MMF1,2025-09-18,0.88,9.75,8.58,-0.12,unknown
H8020,2025-09-21,0.8669950738916257,12.18,10.56,-0.133005,unknown
NIBLGF,2025-09-21,0.8962655601659751,9.64,8.64,-0.103734,unknown
KSBBL,2025-09-24,0.9090960989533776,525.5,477.73,-0.090904,unknown
UPCL,2025-09-24,0.9174427020506634,414.5,380.28,-0.082557,unknown
BGWT,2025-10-07,0.8771920501647359,940.9,825.35,-0.122808,unknown
EBL,2025-10-12,0.9434030683403068,717.0,676.42,-0.056597,unknown
MNBBL,2025-10-19,0.8808266360505167,435.5,383.6,-0.119173,unknown
GLBSL,2025-11-02,0.8752727272727273,2310.0,2021.88,-0.124727,unknown
MKCL,2025-11-02,0.9259238095238096,1575.0,1458.33,-0.074076,unknown
CZBIL,2025-11-03,0.9523809523809524,212.1,202.0,-0.047619,unknown
SBL,2025-11-03,0.9523705722070844,367.0,349.52,-0.047629,unknown
GBBL,2025-11-04,0.9434052757793764,417.0,393.4,-0.056595,unknown
HDL,2025-11-06,0.8333357452966715,1382.0,1151.67,-0.166664,unknown
JSLBBP,2025-11-09,0.8770270270270271,740.0,649.0,-0.122973,unknown
LSLPO,2025-11-09,1.23,100.0,123.0,0.23,unknown
SMATAP,2025-11-11,0.7436762225969646,593.0,441.0,-0.256324,unknown
PMLIP,2025-11-13,0.9,300.0,270.0,-0.1,unknown
SWMFPO,2025-11-20,0.9744897959183674,392.0,382.0,-0.02551,unknown
SAHAS,2025-11-23,0.8264434523809524,672.0,555.37,-0.173557,unknown
SHL,2025-11-23,0.8695604395604395,546.0,474.78,-0.13044,unknown
NRN,2025-11-27,0.7142834995607462,1935.1,1382.21,-0.285717,unknown
SHIVM,2025-11-27,0.9756093597660058,615.4,600.39,-0.024391,unknown
ADBL,2025-11-30,0.9685314685314688,328.9,318.55,-0.031469,unknown
BARUN,2025-11-30,0.9546482057078272,353.9,337.85,-0.045352,unknown
NGPL,2025-11-30,0.95465291750503,397.6,379.57,-0.045347,unknown
SARBTM,2025-11-30,0.9523799102746472,913.9,870.38,-0.04762,unknown
SHINE,2025-11-30,0.970872641509434,424.0,411.65,-0.029127,unknown
MEN,2025-12-03,0.8333333333333334,669.0,557.5,-0.166667,unknown
SMHL,2025-12-03,0.9523847167325428,759.0,722.86,-0.047615,unknown
SIKLES,2025-12-07,0.869560606060606,660.0,573.91,-0.130439,unknown
ALBSL,2025-12-08,0.9132412060301508,1194.0,1090.41,-0.086759,unknown
SADBL,2025-12-09,0.9523903400689996,405.8,386.48,-0.04761,unknown
GCIL,2025-12-14,0.9090988818241612,456.1,414.64,-0.090901,unknown
KDL,2025-12-16,0.9523783185840708,904.0,860.95,-0.047622,unknown
LSL,2025-12-16,0.9091063829787234,235.0,213.64,-0.090894,unknown
SBI,2025-12-21,0.9615440640932266,411.9,396.06,-0.038456,unknown
MLBL,2025-12-22,0.9523697916666666,384.0,365.71,-0.04763,unknown
NHDL,2025-12-22,0.9174270448006576,729.9,669.63,-0.082573,unknown
NLIC,2025-12-22,0.9523792048929663,817.5,778.57,-0.047621,unknown
SHEL,2025-12-22,0.9523859649122808,285.0,271.43,-0.047614,unknown
GBLBS,2025-12-23,1.0319358974358974,780.0,804.91,0.031936,unknown
NMB,2025-12-24,0.9523734797959984,254.9,242.76,-0.047627,unknown
SKBBL,2025-12-24,0.8752721088435375,882.0,771.99,-0.124728,unknown
CGH,2025-12-28,0.9523814898419865,886.0,843.81,-0.047619,unknown
MSHL,2025-12-28,0.8695642701525055,918.0,798.26,-0.130436,unknown
RURU,2025-12-28,0.9090921595598348,727.0,660.91,-0.090908,unknown
SWBBL,2025-12-28,0.946640625,768.0,727.02,-0.053359,unknown
KBSH,2025-12-29,0.9090909090909092,1815.0,1650.0,-0.090909,unknown
SICL,2025-12-29,0.9433962264150944,651.9,615.0,-0.056604,unknown
SNLI,2025-12-29,0.9523735408560312,514.0,489.52,-0.047626,unknown
SPDL,2025-12-29,0.9090887959088796,430.2,391.09,-0.090911,unknown
CBBL,2025-12-31,0.8888888888888887,1044.9,928.8,-0.111111,unknown
DDBL,2025-12-31,0.9090909090909092,880.0,800.0,-0.090909,unknown
MLBBL,2025-12-31,0.8752722952010034,1514.9,1325.95,-0.124728,unknown
SMB,2025-12-31,0.913239660657476,1886.0,1722.37,-0.08676,unknown
CHCL,2026-01-01,0.9259222726376012,506.9,469.35,-0.074078,unknown
GRDBL,2026-01-01,0.9255867768595042,1210.0,1119.96,-0.074413,unknown
MSLB,2026-01-01,0.9546533323382342,1339.9,1279.14,-0.045347,unknown
NLICL,2026-01-01,0.9615371900826448,605.0,581.73,-0.038463,unknown
NUBL,2026-01-01,0.9523860589812332,746.0,710.48,-0.047614,unknown
UHEWA,2026-01-01,0.8695673076923077,624.0,542.61,-0.130433,unknown
