id,businessDate,exchangeIndexId,closingIndex,openIndex,highIndex,lowIndex,fiftyTwoWeekHigh,fiftyTwoWeekLow,turnoverValue,turnoverVolume,totalTransaction,absChange,percentageChange,indexCode
65056,2025-07-23,58,2978.88,2976.26,2992.26,2947.86,3000.81,2464.4,19105697326.85,38660261,166650,5.17,0.17,NEPSE
65073,2025-07-24,58,2982.64,2982.85,2990.45,2963.79,3000.81,2464.4,18132956969.55,34823956,151258,3.76,0.12,NEPSE
65090,2025-07-27,58,2964.2,2984.92,3013.17,2958.34,3000.81,2464.4,25958312446.94,49754772,200131,-18.44,-0.61,NEPSE
65107,2025-07-28,58,2971.31,2967.51,2976.92,2917.51,3000.81,2464.4,18749455439.15,35700112,167040,7.1,0.23,NEPSE
65124,2025-07-29,58,3002.07,2976.0,3028.79,2976.0,3002.07,2464.4,18241412673.7,34108296,153673,30.76,1.03,NEPSE
65134,2025-07-30,51,1533.25,1566.6,1576.33,1530.15,1712.18,1296.0,1350543478.1,4525274,12541,-24.21,-1.55,BANKSUBIND
65135,2025-07-30,52,7163.38,7317.77,7339.04,7150.97,7780.66,5963.95,330073775.4,421093,1879,-154.39,-2.1,HOTELIND
65136,2025-07-30,53,2774.99,2753.55,2829.29,2753.55,2774.99,1871.52,2087684054.9,1763440,13718,23.42,0.85,OTHERSIND
65137,2025-07-30,54,3842.53,3908.64,3927.14,3834.1,3941.95,2957.04,5863403964.0,13147126,52309,-63.87,-1.63,HYDPOWIND
65138,2025-07-30,55,6319.82,6528.87,6547.46,6297.59,6557.35,4843.53,1408538677.2,2491822,10171,-213.72,-3.27,DEVBANKIND
65139,2025-07-30,56,8082.56,8221.17,8248.33,8072.76,8328.6,6580.43,1700697396.2,1840095,12061,-108.37,-1.32,MANPROCIND
65140,2025-07-30,57,507.84,519.7,521.69,506.88,535.51,434.97,7619760453.58,13951841,57838,-10.75,-2.07,SENSIND
65141,2025-07-30,58,2954.14,3008.33,3020.17,2947.71,3002.07,2464.4,16180726185.48,28527839,138739,-47.93,-1.59,NEPSE
65142,2025-07-30,59,13295.96,13503.27,13571.22,13263.91,14430.52,11881.64,264170999.58,331214,3194,-208.68,-1.54,NONLIFIND
65143,2025-07-30,60,2640.95,2714.27,2737.49,2633.87,3975.49,2313.15,358986004.8,591912,4245,-73.32,-2.7,FININD
65144,2025-07-30,61,4400.57,4477.93,4513.84,4313.41,5362.34,3381.58,30715405.0,5507,180,-77.35,-1.72,TRDIND
65145,2025-07-30,62,202.61,206.67,207.52,202.22,206.88,170.03,16180726185.48,28527839,138739,-3.63,-1.76,FLOATIND
65146,2025-07-30,63,173.56,177.68,178.37,173.22,177.64,145.59,7619760453.58,13951841,57838,-3.74,-2.1,SENSFLTIND
65130,2025-07-30,64,5502.25,5692.37,5693.2,5478.48,5688.96,4608.92,1589857960.9,1489812,14640,-186.71,-3.28,MICRFININD
65131,2025-07-30,65,13972.79,14204.35,14355.61,13940.09,14838.88,12108.38,472663910.1,819111,8050,-250.94,-1.76,LIFINSIND
65132,2025-07-30,66,20.75,20.8,20.85,20.68,22.38,18.9,76598410.04,7166974,1626,-0.02,-0.1,MUTUALIND
65133,2025-07-30,67,119.44,122.11,123.34,119.22,122.74,97.68,723390559.3,1101433,5751,-2.01,-1.65,INVIDX
65151,2025-07-31,51,1511.05,1536.99,1538.01,1508.61,1712.18,1296.0,1258780047.1,4124295,11570,-22.19,-1.44,BANKSUBIND
65152,2025-07-31,52,7091.82,7098.42,7208.68,7062.3,7780.66,5963.95,263220087.6,316627,1797,-71.55,-0.99,HOTELIND
65153,2025-07-31,53,2766.63,2809.34,2823.67,2756.21,2774.99,1871.52,2242277565.9,1807574,15101,-8.36,-0.3,OTHERSIND
65154,2025-07-31,54,3797.97,3840.37,3858.99,3790.71,3941.95,2957.04,4807154719.3,11219027,75990,-44.55,-1.15,HYDPOWIND
65155,2025-07-31,55,6290.05,6331.27,6416.88,6270.09,6557.35,4843.53,1703803726.8,2854391,13180,-29.77,-0.47,DEVBANKIND
65156,2025-07-31,56,7990.21,8103.29,8119.8,7951.57,8328.6,6580.43,1678211533.9,1888524,11894,-92.35,-1.14,MANPROCIND
65157,2025-07-31,57,501.12,508.76,508.92,500.07,535.51,434.97,6939038762.8,12941170,53392,-6.71,-1.32,SENSIND
65158,2025-07-31,58,2922.63,2961.8,2967.03,2915.47,3002.07,2464.4,15363780722.4,26854864,165078,-31.5,-1.06,NEPSE
65159,2025-07-31,59,13201.72,13327.55,13349.85,13129.36,14430.52,11881.64,259592400.2,314336,3069,-94.24,-0.7,NONLIFIND
65160,2025-07-31,60,2672.2,2640.95,2738.15,2620.12,3975.49,2313.15,707030268.6,1108831,7011,31.24,1.18,FININD
65161,2025-07-31,61,4293.2,4400.57,4454.83,4253.12,5362.34,3381.58,16878696.3,3046,144,-107.37,-2.44,TRDIND
65162,2025-07-31,62,200.54,203.11,203.38,200.14,206.88,170.03,15363780722.4,26854864,165078,-2.07,-1.02,FLOATIND
