securityId,securityName,symbol,snapshot_date,securitySymbol
131,Nabil Bank Limited,NABIL,2026-07-25,
132,Nepal Investment Mega Bank Limited,NIMB,2026-07-25,
133,Standard Chartered Bank  Nepal Limited,SCB,2026-07-25,
134,Himalayan Bank Limited,HBL,2026-07-25,
135,Nepal SBI Bank Limited,SBI,2026-07-25,
137,Everest Bank Limited,EBL,2026-07-25,
139,NIC Asia Bank Ltd.,NICA,2026-07-25,
140,Machhapuchhre Bank Limited,MBL,2026-07-25,
141,Laxmi Sunrise Bank Limited,LSL,2026-07-25,
142,Kumari Bank Limited,KBL,2026-07-25,
145,Siddhartha Bank Limited,SBL,2026-07-25,
146,Yak And Yeti Hotel Limited,YHL,2026-07-25,
147,Soaltee Hotel Limited,SHL,2026-07-25,
148,Taragaon Regency Hotel Limited,TRH,2026-07-25,
149,Oriental Hotels Limited,OHL,2026-07-25,
151,Nepal Film Development Company Limited,NFD,2026-07-25,
152,National Hydro Power Company Limited,NHPC,2026-07-25,
153,Butwal Power Company Limited,BPCL,2026-07-25,
154,Chilime Hydropower Company Limited,CHCL,2026-07-25,
155,Salt Trading Corporation,STC,2026-07-25,
156,Bishal Bazar Company Limited,BBC,2026-07-25,
158,Nepal Tading Limited,NTL,2026-07-25,
159,Nepal Welfare Company Limited,NWC,2026-07-25,
163,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,NUBL,2026-07-25,
164,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,2026-07-25,
166,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,2026-07-25,
171,Sanima Bank Limited,SANIMA,2026-07-25,
172,Narayani Development Bank Limited,NABBC,2026-07-25,
1741,Meromicrofinance Laghubitta Bittiya Sanstha Ltd.,MERO,2026-07-25,
176,Nepal Insurance Co. Ltd.,NICL,2026-07-25,
177,Rastriya Beema Company Limited,RBCL,2026-07-25,
178,National Life Insurance Co. Ltd.,NLICL,2026-07-25,
179,Himalayan Everest Insurance Limited,HEI,2026-07-25,
180,United Ajod Insurance Limited,UAIL,2026-07-25,
182,Siddhartha Premier Insurance Limited,SPIL,2026-07-25,
183,Neco Insurance Limited,NIL,2026-07-25,
184,Prabhu Insurance Limited,PRIN,2026-07-25,
185,Sagarmatha Lumbini Insurance Co. Limited,SALICO,2026-07-25,
186,IGI Prudential Insurance Limited,IGI,2026-07-25,
187,NEPAL LIFE INSURANCE COMPANY LIMITED,NLIC,2026-07-25,
188,Life Insurance Corporation (Nepal) Limited,LICN,2026-07-25,
192,Shikhar Insurance Co. Ltd.,SICL,2026-07-25,
194,Nepal Finance Ltd.,NFS,2026-07-25,
195,Bottlers Nepal (Balaju) Limited,BNL,2026-07-25,
198,Nepal Lube Oil Limited,NLO,2026-07-25,
200,Nepal Share Markets Ltd.,NSM,2026-07-25,
201,Nepal Vanaspati Ghee Udhyog Limited,NVG,2026-07-25,
203,Raghupati Jute Mills Limited,RJM,2026-07-25,
204,Gurkhas Finance Ltd.,GUFL,2026-07-25,
205,Butwal Spinning Mills Limited,BSM,2026-07-25,
207,Gorakhkali Rubber Udhyog Limited,GRU,2026-07-25,
209,Jyoti Sinning Mills Limited,JSM,2026-07-25,
210,Citizen Investment Trust,CIT,2026-07-25,
211,Arun Vanaspati Udhyog Limited,AVU,2026-07-25,
213,Bottlers Nepal (Terai) Limited,BNT,2026-07-25,
215,Harisiddhi Brick And Tiles Limited,HBT,2026-07-25,
217,Birat Shoe Limited,BSL,2026-07-25,
219,Unilever Nepal Limited,UNL,2026-07-25,
221,Samjhana Finance Co. Ltd.,SFC,2026-07-25,
222,Nepal Khadya Udhyog Limited,NKU,2026-07-25,
