id,businessDate,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,totalTrades,lastTradedPrice,averageTradedPrice,symbol,securityId
1795682,2025-07-24,552.0,556.0,547.1,548.08,95913,52752517.7,551.41,700.0,474.1,2025-07-24 14:59:56.281327000,799,547.6,550.0,NABIL,131
1795688,2025-07-24,418.8,418.8,403.0,404.97,211844,85930783.2,410.62,573.0,333.0,2025-07-24 14:59:55.627143000,955,406.0,405.63,NICA,139
1795747,2025-07-24,1330.0,1342.0,1305.0,1321.12,89508,118323594.8,1326.63,1749.0,1136.0,2025-07-24 14:59:55.055465000,1082,1325.0,1321.93,HDL,235
1795767,2025-07-24,928.9,928.9,907.0,914.85,36145,33027452.3,920.78,1214.0,835.0,2025-07-24 14:59:57.004305000,379,915.0,913.75,NTC,307
1795973,2025-07-24,1587.0,1600.0,1560.2,1598.96,304317,483257682.7,1586.86,1600.0,722.0,2025-07-24 14:59:58.020303000,1943,1599.5,1588.01,NRIC,2881
1796195,2025-07-27,550.0,554.0,545.1,547.84,147629,81220703.6,548.08,700.0,474.1,2025-07-27 14:59:50.267234000,1148,547.9,550.17,NABIL,131
1796201,2025-07-27,407.0,412.0,398.9,400.35,357867,144792585.5,404.97,573.0,333.0,2025-07-27 14:59:59.820227000,1242,399.0,404.6,NICA,139
1796260,2025-07-27,1325.0,1418.0,1325.0,1381.88,386101,532548837.7,1321.12,1749.0,1136.0,2025-07-27 14:59:54.072802000,4016,1376.1,1379.3,HDL,235
1796280,2025-07-27,896.6,930.0,896.6,909.17,45350,41543840.7,914.85,1214.0,835.0,2025-07-27 14:59:46.813489000,498,908.0,916.07,NTC,307
1796486,2025-07-27,1600.0,1605.0,1583.0,1591.1,532878,850214145.9,1598.96,1605.0,722.0,2025-07-27 14:59:59.107651000,2102,1592.0,1595.51,NRIC,2881
1796708,2025-07-28,545.5,547.0,536.0,540.43,183214,98869241.3,547.84,700.0,474.1,2025-07-28 14:59:52.085316000,1362,542.0,539.64,NABIL,131
1796714,2025-07-28,400.0,403.0,388.7,396.3,416122,163714234.0,400.35,573.0,333.0,2025-07-28 14:59:49.689265000,1605,396.1,393.43,NICA,139
1796773,2025-07-28,1382.0,1475.0,1381.0,1461.99,544215,769914556.2,1381.88,1696.0,1136.0,2025-07-28 14:59:56.299858000,5276,1463.0,1414.72,HDL,235
1796793,2025-07-28,909.1,910.0,898.0,909.64,52222,47136301.0,909.17,1214.0,835.0,2025-07-28 14:59:52.798977000,511,910.0,902.61,NTC,307
1796999,2025-07-28,1581.0,1601.0,1550.0,1558.78,256169,402449976.2,1591.1,1605.0,722.0,2025-07-28 14:59:53.439240000,1716,1564.0,1571.03,NRIC,2881
1797221,2025-07-29,547.0,552.0,545.0,548.55,142244,78087885.1,540.43,700.0,474.1,2025-07-29 14:59:47.945474000,988,548.0,548.97,NABIL,131
1797227,2025-07-29,403.0,410.0,395.0,400.89,308929,124476292.8,396.3,564.0,333.0,2025-07-29 14:59:49.217201000,1100,400.0,402.93,NICA,139
1797286,2025-07-29,1491.2,1540.0,1489.2,1525.68,424463,644138275.1,1461.99,1696.0,1136.0,2025-07-29 14:59:59.962279000,4172,1524.0,1517.54,HDL,235
1797306,2025-07-29,891.5,932.0,891.5,929.41,73341,67732982.5,909.64,1214.0,835.0,2025-07-29 14:59:59.972916000,738,931.0,923.54,NTC,307
1797512,2025-07-29,1585.0,1630.0,1565.0,1601.66,353764,569214189.7,1558.78,1630.0,722.0,2025-07-29 14:59:49.743228000,2327,1604.0,1609.02,NRIC,2881
1797734,2025-07-30,550.7,555.0,545.0,545.18,115662,63522477.0,548.55,700.0,474.1,2025-07-30 14:59:44.038700000,819,545.0,549.21,NABIL,131
