id,businessDate,securityId,symbol,securityName,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,lastUpdatedPrice,totalTrades,averageTradedPrice,marketCapitalization
,2025-08-03,131,NABIL,Nabil Bank Limited,536.0,538.0,522.5,524.4,166184,87771702.4,536.48,700.0,474.1,2025-08-03T14:59:56.490113,525.0,1331,528.15,141886.9
,2025-08-03,132,NIMB,Nepal Investment Mega Bank Limited,230.0,232.9,225.1,226.06,315905,72067185.2,232.44,295.0,201.0,2025-08-03T14:59:58.221982,226.1,929,228.12,77151.1
,2025-08-03,133,SCB,Standard Chartered Bank Limited,650.0,650.0,637.2,637.64,51219,32846012.3,650.71,790.0,597.1,2025-08-03T14:59:59.789904,638.5,353,641.28,64034.16
,2025-08-03,134,HBL,Himalayan Bank Limited,238.0,238.0,226.7,227.16,71440,16374663.4,233.36,312.1,210.0,2025-08-03T14:59:58.683739,227.0,432,229.2,49195.17
,2025-08-03,135,SBI,Nepal SBI Bank Limited,422.1,427.0,412.0,415.64,37697,15785700.4,425.62,549.0,372.2,2025-08-03T14:59:41.542207,417.9,212,418.75,45301.26
,2025-08-03,137,EBL,Everest Bank Limited,731.4,731.4,710.1,711.01,98110,70049148.4,717.09,790.0,567.0,2025-08-03T14:59:57.002317,712.0,594,713.98,92038.07
,2025-08-03,139,NICA,NIC Asia Bank Ltd.,386.0,388.0,381.0,381.91,146401,56051636.6,386.43,564.0,333.0,2025-08-03T14:59:58.187166,382.0,711,382.86,56971.68
,2025-08-03,140,MBL,Machhapuchhre Bank Limited,255.0,255.0,246.3,246.86,159266,39892955.8,255.87,295.0,208.6,2025-08-03T14:59:28.292908,247.0,465,250.48,28688.48
,2025-08-03,141,LSL,Laxmi Sunrise Bank Limited,238.5,239.0,233.5,234.03,141886,33571400.8,238.5,300.0,201.0,2025-08-03T14:59:06.262944,234.0,385,236.6,56978.14
,2025-08-03,142,KBL,Kumari Bank Limited,221.0,221.0,217.0,217.35,482644,105454370.4,220.44,272.9,192.1,2025-08-03T14:59:57.168036,217.5,1107,218.49,57001.91
,2025-08-03,145,SBL,Siddhartha Bank Limited,386.0,386.0,363.0,366.99,179070,66550556.5,379.74,408.0,261.0,2025-08-03T14:59:50.575021,365.0,455,371.64,51708.82
,2025-08-03,147,SHL,Soaltee Hotel Limited,580.0,580.0,560.0,568.76,101379,57794007.0,573.85,636.5,455.0,2025-08-03T14:59:58.788756,569.9,322,570.07,58119.46
,2025-08-03,148,TRH,Taragaon Regency Hotel Limited,990.0,999.0,973.2,975.46,12542,12264437.1,989.84,1538.0,898.0,2025-08-03T14:59:54.745938,974.0,117,977.86,19139.7
,2025-08-03,149,OHL,Oriental Hotels Limited,888.0,895.0,880.1,881.85,5586,4935337.1,890.98,1205.0,838.9,2025-08-03T14:59:54.328598,882.0,82,883.51,10445.47
,2025-08-03,152,NHPC,National Hydro Power Company Limited,216.4,220.0,215.0,215.71,144773,31314934.5,218.24,290.0,188.0,2025-08-03T14:59:38.799048,215.2,512,216.3,5320.35
,2025-08-03,153,BPCL,Butwal Power Company Limited,945.0,965.0,922.2,929.73,277614,261050994.4,930.98,1065.0,375.1,2025-08-03T14:59:58.222585,933.0,1050,940.33,31695.1
,2025-08-03,154,CHCL,Chilime Hydropower Company Limited,537.0,550.0,535.0,538.36,108426,58670170.3,537.2,697.0,469.7,2025-08-03T14:59:54.44301,538.5,620,541.1,47280.91
