symbol,fiscal_year,dividend_pct
ADBL,069-070,31.58
ADBL,070-071,8.0
ADBL,072-073,1.05
ADBL,073-074,1.05
ADBL,075-076,24.0
ADBL,076-077,0.78
ADBL,077-078,1.05
ADBL,078-079,11.0
ADBL,080-081,7.53
ADBL,081-082,9.75
AHPC,067-068,15.0
AHPC,068-069,0.75
AHPC,069-070,0.0
AHPC,070-071,0.53
AHPC,071-072,11.0
AHPC,072-073,0.53
AHPC,073-074,0.53
AHPC,075-076,0.0
AHPC,076-077,0.26
AHPC,077-078,0.53
AHPC,078-079,0.42
AHPC,080-081,1.0
AHPC,081-082,0.26
AKJCL,081-082,1.0
AKPL,076-077,0.29
AKPL,077-078,0.89
AKPL,078-079,0.53
AKPL,080-081,1.0
ALBSL,075-076,0.63
ALBSL,076-077,0.79
ALBSL,077-078,1.32
ALBSL,078-079,0.71
ALBSL,080-081,0.75
ALBSL,081-082,0.5
ALICL,067-068,1.42
ALICL,070-071,1.5
ALICL,072-073,1.05
ALICL,073-074,0.21
ALICL,074-075,2.0
ALICL,075-076,1.0
ALICL,076-077,2.0
ALICL,077-078,0.76
ALICL,078-079,0.45
ALICL,079-080,0.41
ALICL,080-081,0.27
ALICL,081-082,5.53
ALICL,082-083,1.0
ANLB,079-080,5.0
ANLB,080-081,0.75
ANLB,081-082,0.75
API,075-076,0.26
API,076-077,1.0
API,077-078,1.0
API,078-079,1.0
API,080-081,1.0
API,081-082,0.26
BARUN,073-074,0.26
BARUN,076-077,0.26
BARUN,079-080,1.0
BARUN,081-082,0.25
BBC,080-081,14.0
BFC,074-075,1.0
BGWT,079-080,10.53
BGWT,080-081,10.74
BGWT,081-082,6.0
BHDC,077-078,10.0
BHDC,078-079,0.03
BHDC,079-080,5.26
BHDC,081-082,0.26
BHL,081-082,1.0
BNHC,082-083,1.0
BNL,067-068,55.0
BNL,068-069,70.0
BNL,069-070,60.0
BNL,074-075,20.0
BNL,078-079,20.0
BNT,067-068,55.0
BNT,068-069,85.0
BNT,070-071,22.0
BNT,071-072,0.0
BNT,072-073,25.0
BNT,073-074,25.0
BNT,074-075,40.0
BNT,075-076,40.0
BNT,078-079,60.0
BNT,079-080,60.0
BNT,080-081,50.0
BPCL,067-068,25.0
BPCL,068-069,25.0
BPCL,069-070,0.0
BPCL,070-071,15.0
BPCL,071-072,20.0
BPCL,072-073,20.0
BPCL,073-074,20.0
BPCL,074-075,18.0
BPCL,075-076,18.0
BPCL,076-077,15.0
BPCL,077-078,10.0
BPCL,078-079,7.5
BPCL,079-080,5.0
BPCL,080-081,5.0
BPCL,081-082,6.0
CBBL,067-068,25.0
CBBL,068-069,17.11
CBBL,069-070,15.0
CBBL,070-071,10.0
CBBL,071-072,12.7
CBBL,072-073,12.7
CBBL,073-074,25.11
CBBL,074-075,22.0
CBBL,075-076,0.0
CBBL,076-077,7.0
CBBL,077-078,3.0
CBBL,078-079,3.26
CBBL,079-080,10.0
CBBL,080-081,7.0
CBBL,081-082,12.5
CFCL,070-071,1.74
CFCL,071-072,1.74
CFCL,072-073,1.74
CFCL,074-075,7.0
CFCL,075-076,0.0
CFCL,076-077,3.0
CFCL,077-078,3.3
CFCL,078-079,5.0
CGH,081-082,0.26
CHCL,066-067,60.0
CHCL,067-068,30.0
CHCL,068-069,20.0
CHCL,069-070,0.0
CHCL,070-071,15.0
CHCL,071-072,12.0
CHCL,072-073,10.0
CHCL,073-074,0.0
CHCL,074-075,5.0
CHCL,075-076,5.0
CHCL,076-077,10.0
CHCL,077-078,7.5
CHCL,078-079,7.5
CHCL,079-080,5.0
CHCL,080-081,2.0
CHCL,081-082,4.0
CHDC,072-073,100.0
CHDC,078-079,0.58
CHL,075-076,0.26
CHL,076-077,0.26
CHL,078-079,10.0
CHL,081-082,1.0
CIT,069-070,2.63
CIT,071-072,1.15
CIT,073-074,1.16
CIT,074-075,1.16
CIT,075-076,1.16
CIT,076-077,8.89
CIT,077-078,100.0
CIT,078-079,1.32
CIT,079-080,0.74
CIT,080-081,6.0
CIT,081-082,8.0
CITY,082-083,1.0
CLI,079-080,0.26
CLI,080-081,1.42
CLI,081-082,20.0
CORBL,078-079,1.0
CYCL,078-079,1.58
CZBIL,066-067,12.63
CZBIL,067-068,0.0
CZBIL,068-069,8.42
CZBIL,069-070,15.0
CZBIL,070-071,5.95
CZBIL,071-072,10.0
CZBIL,072-073,10.0
CZBIL,073-074,0.85
CZBIL,074-075,1.6
CZBIL,075-076,12.0
CZBIL,076-077,3.0
CZBIL,077-078,3.09
CZBIL,078-079,9.0
CZBIL,079-080,5.79
CZBIL,080-081,0.21
CZBIL,081-082,0.26
DDBL,066-067,27.19
DDBL,067-068,28.0
DDBL,068-069,25.0
DDBL,069-070,15.0
DDBL,070-071,15.0
DDBL,071-072,2.63
DDBL,072-073,17.63
DDBL,073-074,15.0
DDBL,074-075,10.0
DDBL,075-076,0.0
DDBL,076-077,5.0
DDBL,077-078,1.05
DDBL,078-079,11.05
DDBL,079-080,0.53
DDBL,080-081,0.5
DDBL,081-082,5.0
DORDI,081-082,1.0
EBL,066-067,30.0
EBL,067-068,50.53
EBL,068-069,1.58
EBL,069-070,50.53
EBL,070-071,50.63
EBL,073-074,1.74
EBL,076-077,5.53
EBL,077-078,4.32
EBL,078-079,7.68
EBL,079-080,10.53
EBL,080-081,5.53
EBL,081-082,14.0
EDBL,067-068,25.0
EDBL,069-070,1.0
EDBL,070-071,0.0
EDBL,071-072,4.0
EDBL,072-073,2.0
EDBL,073-074,2.0
EDBL,074-075,55.0
EDBL,075-076,0.0
EDBL,076-077,0.63
EDBL,077-078,0.45
EDBL,078-079,10.0
ENL,075-076,5.27
ENL,079-080,8.42
ENL,081-082,5.26
FMDBL,068-069,15.79
FMDBL,069-070,15.0
FMDBL,070-071,15.79
