run_utc,dataset,rows_added,rows_total,conflicts
2026-08-10T10:24:28+00:00,headlines,22,64,1
2026-08-10T10:24:36+00:00,sentiment,12,44,0
2026-08-10T10:28:19+00:00,headlines,0,64,1
2026-08-10T10:48:16+00:00,headlines,2,66,2
2026-08-10T10:48:20+00:00,sentiment,2,46,0
2026-08-10T14:36:14+00:00,headlines,0,66,2
2026-08-11T10:35:02+00:00,headlines,19,85,1
2026-08-11T10:35:09+00:00,sentiment,11,57,0
2026-08-11T14:35:30+00:00,headlines,10,95,1
2026-08-11T14:35:38+00:00,sentiment,10,67,0
2026-08-12T10:44:00+00:00,headlines,18,113,1
2026-08-12T10:44:09+00:00,sentiment,11,78,0
2026-08-12T14:35:54+00:00,headlines,3,116,1
2026-08-12T14:36:01+00:00,sentiment,2,80,0
2026-08-13T10:45:16+00:00,headlines,12,128,2
2026-08-13T10:45:24+00:00,sentiment,10,90,0
2026-08-13T14:36:58+00:00,headlines,2,130,2
2026-08-13T14:37:02+00:00,sentiment,2,92,0
