endpoint,window,rows,first,last,status
index_history,2012,225,2025-07-30,2026-07-31,ok
index_history,2013,225,2025-07-30,2026-07-31,ok
index_history,2014,225,2025-07-30,2026-07-31,ok
index_history,2015,225,2025-07-30,2026-07-31,ok
index_history,2016,225,2025-07-30,2026-07-31,ok
index_history,2017,225,2025-07-30,2026-07-31,ok
index_history,2018,225,2025-07-30,2026-07-31,ok
index_history,2019,225,2025-07-30,2026-07-31,ok
index_history,2020,225,2025-07-30,2026-07-31,ok
index_history,2021,225,2025-07-30,2026-07-31,ok
index_history,2022,225,2025-07-30,2026-07-31,ok
index_history,2023,225,2025-07-30,2026-07-31,ok
index_history,2024,225,2025-07-30,2026-07-31,ok
index_history,2025,225,2025-07-30,2026-07-31,ok
index_history,2026,225,2025-07-30,2026-07-31,ok
market_summary_history,2015,224,2025-07-31,2026-07-31,ok
market_summary_history,2018,224,2025-07-31,2026-07-31,ok
market_summary_history,2020,224,2025-07-31,2026-07-31,ok
market_summary_history,2023,224,2025-07-31,2026-07-31,ok
market_summary_history,2026,224,2025-07-31,2026-07-31,ok
