businessDate,traded,advancers,decliners,unchanged,thin,limit_up,limit_down,advance_decline_ratio
2025-08-03,319,34,280,5,28,2,2,0.12142857142857143
2025-08-04,325,172,150,2,41,0,1,1.1466666666666667
2025-08-05,325,82,239,4,40,2,1,0.34309623430962344
2025-08-06,320,148,168,4,33,3,0,0.8809523809523809
2025-08-07,318,216,95,7,34,2,0,2.2736842105263158
2025-08-11,324,53,265,6,41,1,0,0.2
2025-08-12,323,61,254,8,37,1,1,0.24015748031496062
2025-08-13,321,123,190,8,37,0,0,0.6473684210526316
2025-08-14,320,136,172,12,39,1,0,0.7906976744186046
2025-08-17,317,85,225,7,32,0,0,0.37777777777777777
2025-08-18,320,199,115,6,36,0,0,1.7304347826086957
2025-08-19,316,176,131,9,34,0,0,1.3435114503816794
2025-08-20,323,95,220,7,38,0,0,0.4318181818181818
2025-08-21,319,89,225,5,37,1,0,0.39555555555555555
2025-08-24,323,71,245,7,37,1,0,0.2897959183673469
2025-08-25,317,209,99,9,41,2,0,2.111111111111111
2025-08-26,322,138,173,11,44,1,0,0.7976878612716763
2025-08-27,321,275,42,4,45,1,0,6.5476190476190474
2025-08-28,322,49,261,11,36,1,0,0.18773946360153257
2025-08-31,321,49,264,8,37,0,1,0.1856060606060606
2025-09-01,326,179,136,10,41,0,0,1.3161764705882353
2025-09-02,323,66,250,7,41,1,0,0.264
2025-09-03,326,72,244,10,39,1,0,0.29508196721311475
2025-09-04,317,121,187,9,37,1,0,0.6470588235294118
2025-09-07,334,123,203,8,54,1,0,0.6059113300492611
2025-09-08,320,50,267,3,44,1,0,0.18726591760299627
2025-09-18,238,10,228,0,111,1,22,0.043859649122807015
2025-09-21,329,256,64,9,37,21,0,4.0
2025-09-23,328,275,44,8,47,11,0,6.25
2025-09-24,317,83,223,11,40,3,0,0.3721973094170404
2025-09-25,327,153,161,13,54,1,0,0.9503105590062112
2025-09-28,314,203,90,21,49,1,1,2.2555555555555555
2025-10-07,326,55,267,3,43,1,1,0.20599250936329588
2025-10-08,335,44,281,10,56,0,0,0.15658362989323843
2025-10-09,313,222,75,16,33,0,0,2.96
2025-10-12,324,27,287,10,48,0,0,0.09407665505226481
2025-10-13,330,251,64,15,50,5,0,3.921875
2025-10-14,317,54,248,15,54,2,1,0.21774193548387097
2025-10-15,318,66,235,17,52,0,2,0.28085106382978725
2025-10-16,311,74,224,13,51,1,1,0.33035714285714285
2025-10-19,323,204,102,17,65,3,0,2.0
2025-10-26,313,125,179,9,56,1,0,0.6983240223463687
2025-10-28,314,275,32,7,50,4,0,8.59375
2025-10-29,321,108,204,9,60,3,0,0.5294117647058824
2025-10-30,319,250,61,8,46,3,0,4.098360655737705
2025-11-02,319,240,71,8,47,7,0,3.380281690140845
2025-11-03,333,126,194,13,67,2,1,0.6494845360824743
2025-11-04,322,59,252,10,58,0,1,0.23412698412698413
2025-11-05,312,166,124,21,51,2,0,1.3387096774193548
2025-11-06,320,117,184,18,47,1,1,0.6358695652173914
2025-11-09,323,46,268,8,49,4,2,0.17164179104477612
2025-11-10,327,122,182,21,63,5,1,0.6703296703296703
2025-11-11,327,166,139,19,63,3,0,1.1942446043165467
2025-11-12,321,73,232,16,53,4,0,0.3146551724137931
2025-11-13,329,162,152,15,57,6,0,1.0657894736842106
2025-11-16,337,116,198,21,65,4,2,0.5858585858585859
2025-11-17,335,212,99,24,60,4,1,2.1414141414141414
2025-11-18,345,250,80,15,69,5,0,3.125
2025-11-19,338,105,223,10,58,8,0,0.47085201793721976
2025-11-20,328,140,177,11,49,5,0,0.7909604519774012
2025-11-23,334,277,52,5,51,3,0,5.326923076923077
2025-11-24,330,250,69,10,49,4,0,3.6231884057971016
2025-11-25,319,151,155,13,39,3,0,0.9741935483870968
2025-11-26,322,169,137,16,38,5,0,1.2335766423357664
2025-11-27,333,171,147,15,47,5,0,1.163265306122449
2025-11-30,342,90,246,6,58,5,0,0.36585365853658536
2025-12-01,325,156,156,13,43,4,1,1.0
