businessDate,total_turnover,top10_share,top10_symbols
2025-08-03,13075004920.34,0.3291265722818632,"NRIC, HRL, HDL, SHIVM, NGPL, LBBL, BPCL, MHL, GVL, CGH"
2025-08-04,10822449402.92,0.3106566511452465,"HRL, SHIVM, HDL, NGPL, NRIC, KPCL, TTL, LBBL, BPCL, SAHAS"
2025-08-05,9333965281.84,0.28864669731971515,"HRL, TTL, SHIVM, BPCL, NGPL, LBBL, KPCL, NRIC, USLB, HDL"
2025-08-06,7631375952.79,0.28932034970610987,"NGPL, HRL, SHIVM, NRN, BHL, LBBL, NRIC, UMHL, HDL, GVL"
2025-08-07,8537581254.96,0.2714721341543307,"LEC, SHIVM, HRL, NRIC, UMHL, KBL, NGPL, BPCL, HDL, USLB"
2025-08-11,10210142308.439999,0.3003404292577908,"SHIVM, HRL, NRIC, SAHAS, BPCL, HDL, NRN, LEC, FMDBL, UMHL"
2025-08-12,6918983507.82,0.26569262251778514,"NRIC, HRL, LBBL, SHIVM, BPCL, NGPL, HDL, UMHL, SAHAS, LEC"
2025-08-13,6161894734.550001,0.31708270085251417,"BHL, UMHL, SHIVM, NRN, NRIC, SAHAS, HRL, GBIME, NGPL, BPCL"
2025-08-14,7464177704.29,0.36417862135539375,"NRIC, NRN, BHL, HRL, SAHAS, SHIVM, RADHI, BPCL, NRM, HDL"
2025-08-17,7735195094.63,0.31025447114657345,"NRIC, HRL, NRM, NRN, SHIVM, MNBBL, KPCL, HDL, BPCL, RADHI"
2025-08-18,6179855209.52,0.28333126054518015,"NRIC, BPCL, NRN, KPCL, HDL, PMHPL, NRM, UMHL, LEC, SHIVM"
2025-08-19,5636548038.26,0.32688961931898797,"UMHL, HDL, RADHI, BPCL, MEN, HRL, NRIC, PMHPL, NRN, SHIVM"
2025-08-20,5200753868.02,0.27607951263162495,"NRIC, HRL, CGH, UMHL, RADHI, PMHPL, BPCL, NRN, HDL, EBL"
2025-08-21,5020104816.55,0.28074366936596473,"HRL, NRIC, BHL, BPCL, HDL, EBL, SHIVM, NABBC, NRN, CGH"
2025-08-24,6548638335.92,0.4607170855735066,"HDL, NRIC, HRL, BPCL, SHIVM, NRN, NABBC, RADHI, CGH, CHDC"
2025-08-25,5753219652.78,0.37762005411182525,"NRIC, HRL, HDL, RADHI, CBBL, SKBBL, CGH, NRN, NRM, LBBL"
2025-08-26,4185315734.37,0.39906055177254346,"NRIC, HRL, NRN, HDL, BPCL, NRM, PURE, KPCL, SKBBL, EBL"
2025-08-27,7683386441.7,0.39905318551459057,"HRL, NRIC, GVL, HDL, NRM, LBBL, BPCL, SHIVM, SHEL, CGH"
2025-08-28,8095610445.99,0.35007607962458287,"NRIC, HRL, HDL, SHIVM, UMHL, CGH, LBBL, NGPL, AKPL, BPCL"
2025-08-31,6061822379.1,0.3387769911372592,"NRIC, HRL, HDL, NRM, PPL, BHCL, EBL, SHIVM, LEC, CHDC"
2025-09-01,5105746657.65,0.362963725731148,"NRIC, EBL, HDL, NRN, KBL, HRL, SBL, SHIVM, SANIMA, BHCL"
2025-09-02,4438251812.71,0.2979005811057596,"NRIC, HRL, UNHPL, DORDI, HDL, UMHL, HBL, KSBBL, SMATA, SHIVM"
2025-09-03,4728052860.98,0.37678797052001395,"UNHPL, LEC, NRIC, HRL, PMHPL, SHIVM, HDL, UMHL, BPCL, USLB"
2025-09-04,5144322258.75,0.3158265953180746,"NRIC, BHDC, HRL, UNHPL, HDL, BPCL, SMHL, SANIMA, EBL, SHIVM"
2025-09-07,4402767271.719999,0.3604677788430992,"UNHPL, NRIC, EBL, HDL, UPCL, HRL, NRN, LSL, RADHI, BPCL"
2025-09-08,5233766698.24,0.34142452610677265,"NRIC, UNHPL, UPCL, HRL, UMHL, HDL, NRN, SHIVM, NGPL, MKJC"
2025-09-18,728702830.7,0.4201048799356612,"HDL, CHDC, SHIVM, UNHPL, UPCL, NRN, NGPL, KBL, RADHI, SHEL"
2025-09-21,9179573079.96,0.3347134421215795,"NRIC, HRL, GMLI, SHIVM, HDL, CHDC, UNHPL, LBBL, KBL, NRN"
2025-09-23,5292773925.39,0.3103766235545292,"NRIC, UPCL, HDL, SHIVM, HRL, UNHPL, SAHAS, NRN, BPCL, KSBBL"
2025-09-24,4124821863.7799997,0.2911923856996076,"UNHPL, NRIC, HRL, CHDC, SHIVM, HDL, UPCL, NRN, NGPL, MNBBL"
2025-09-25,3260440604.1800003,0.31901117783484023,"NRIC, UNHPL, HRL, KPCL, LBBL, SHIVM, SAPDBL, GLH, CHDC, HDL"
2025-09-28,2935914910.74,0.3044876532456042,"UNHPL, NRIC, SHIVM, NMBPO, HRL, SBLD2091, HDL, NRN, HIMSTAR, MKJC"
2025-10-07,4629042656.66,0.2970321029601588,"UNHPL, NRIC, HRL, SHIVM, SPDL, NRN, MKJC, RADHI, SIKLES, HDL"
2025-10-08,5762701110.82,0.3068830273497138,"NRIC, UNHPL, SPDL, NRN, HRL, UMHL, NILPO, KPCL, SHIVM, NGPL"
2025-10-09,5273221479.76,0.3248719174560385,"SHIVM, UNHPL, HRL, NRIC, HDL, EBL, MNBBL, CHDC, NGPL, SPDL"
2025-10-12,6707245266.37,0.3585255386972673,"NRIC, NLG, UNHPL, HRL, CHDC, NRN, HDL, RADHI, SHIVM, BPCL"
2025-10-13,4975408545.45,0.37546521867201577,"NRN, NRIC, KBLD90, CHDC, HRL, NLG, UNHPL, SHIVM, LSL, UMHL"
2025-10-14,3366198262.3500004,0.3521157520509584,"NRIC, HRL, CHDC, UNHPL, SHIVM, NRN, CREST, HIDCLP, HDL, BHDC"
2025-10-15,3101830945.46,0.32296543267977357,"NRIC, HRL, UNHPL, BPCL, HDL, CHDC, RADHI, NRN, GBIME, SHIVM"
2025-10-16,3270054864.16,0.31935709218391356,"MNBBL, NRIC, SHIVM, NRN, HRL, HDL, UNHPL, CHDC, USLB, NABBC"
2025-10-19,2791189909.04,0.4434548846322379,"NRIC, HDL, UNHPL, CHDC, HRL, UMHL, NRN, SHIVM, GBIME, SRLIP"
2025-10-26,2661302284.8500004,0.4896575437214748,"NRIC, SBLD89, UNHPL, HPPL, HDL, SHIVM, HRL, NABBC, RADHI, CHDC"
2025-10-28,4573943405.5,0.3919563232776865,"HPPL, UNHPL, RADHI, BPCL, NRN, HRL, NRIC, CHDC, HDL, SHIVM"
2025-10-29,5459767681.9,0.35734786534379415,"UNHPL, NRN, BPCL, RADHI, HRL, CHDC, SAHAS, FMDBL, NRIC, HPPL"
2025-10-30,7513938473.450001,0.4831042738274233,"HBLPO, RADHI, NRIC, SAHAS, BPCL, SBLD89, UNHPL, HPPL, NRN, NGPL"
2025-11-02,9203146429.510002,0.39707367324313725,"HBLPO, UNHPL, BPCL, RADHI, NRN, SPDL, NRIC, NGPL, HRL, HDL"
2025-11-03,6052226903.77,0.36540600766676795,"SHIVM, NRN, RADHI, SPDL, UNHPL, HRL, NGPL, SAHAS, CHDC, NRIC"
2025-11-04,5150768938.98,0.34376338309414417,"NRN, RADHI, UNHPL, SHEL, SHIVM, NRIC, CGH, EHPL, HDL, HRL"
2025-11-05,4681922814.96,0.3968277668874542,"UNHPL, HDL, RADHI, NRN, SHIVM, HRL, NRIC, SPDL, SHEL, BPCL"
2025-11-06,5416939357.23,0.36276695537992226,"SHIVM, RADHI, HDL, NRN, UNHPL, BPCL, SPDL, USLB, HRL, FMDBL"
2025-11-09,4907624328.4,0.37086942418703656,"UNHPL, NRIC, NRN, RADHI, SHIVM, GMLI, MEN, BPCL, PPL, NBLD85"
2025-11-10,4514408236.34,0.4279192953905703,"NRN, UNHPL, SBLD89, RADHI, SHIVM, NIMBD90, NRIC, SAHAS, SPDL, PPL"
2025-11-11,3626175110.67,0.4293343326468163,"SAHAS, RADHI, NRN, SHIVM, SPDL, EHPL, DHEL, MEN, HRL, PPL"
2025-11-12,3848586411.67,0.3488177904565937,"NRN, RADHI, SAHAS, UNHPL, SHIVM, BPCL, BHDC, CHDC, NRIC, MABEL"
2025-11-13,3499821671.8199997,0.32202018896406326,"HPPL, HDL, UNHPL, NRN, SAHAS, SHIVM, RADHI, CHDC, MEN, PPL"
2025-11-16,3893975793.73,0.41731197007350324,"SBLD89, NRIC, MEN, NRN, UNHPL, SAHAS, BARUN, NBLD85, SHIVM, RADHI"
2025-11-17,3946074358.8900003,0.3241754549095306,"SAHAS, NRN, SHIVM, RADHI, UNHPL, BPCL, CHDC, LSL, MEN, SARBTM"
2025-11-18,4105406134.0200005,0.28668624936932147,"SAHAS, BARUN, MEN, SPDL, NIFRA, RADHI, NRN, SHIVM, BPCL, UNHPL"
2025-11-19,3778632771.3100004,0.3441140275584946,"BARUN, SAHAS, RADHI, UNHPL, SPDL, SHIVM, NRN, MEN, NRIC, DHEL"
2025-11-20,4688868299.24,0.30883951484299915,"SAHAS, SAPDBL, NRIC, UNHPL, BARUN, RADHI, DORDI, SGHC, BUNGAL, SHIVM"
2025-11-23,6286733916.88,0.3462941192014752,"NRN, PHCL, RADHI, NRIC, SHIVM, HRL, SAHAS, SPDL, NLIC, MEN"
2025-11-24,7035480136.9800005,0.2763794875888408,"NLIC, NRIC, HRL, NRN, RNLI, SHIVM, CHDC, GMLI, RADHI, SARBTM"
2025-11-25,5823028663.969999,0.3164068562980188,"BANDIPUR, HRL, NGPL, UNHPL, SHIVM, NRN, BARUN, MEN, NRIC, HDL"
2025-11-26,6692971095.049999,0.33799408030808187,"NRN, SHIVM, HDL, BANDIPUR, HRL, USLB, BARUN, NGPL, NRIC, RADHI"
2025-11-27,6662383143.47,0.2560057619729837,"NRN, NGPL, HRL, CHDC, UMHL, HDL, SPDL, BARUN, RNLI, NIFRA"
2025-11-30,7085449433.6,0.25899023970137,"HRL, JOSHI, GVL, NRN, NLIC, NGPL, HDL, SHPC, MEN, RNLI"
2025-12-01,4716383580.860001,0.2708213547947034,"UMHL, HRL, BANDIPUR, NRIC, NRN, NABBC, LSL, HDL, ALBSL, MEN"
2025-12-02,4481394149.97,0.30647183142977813,"UNHPL, MEN, NGPL, GVL, UMHL, HRL, NABBC, BUNGAL, NRIC, BARUN"
2025-12-03,5235699337.33,0.22397480990533977,"BANDIPUR, HRL, NGPL, TTL, SIKLES, GMFIL, ALBSL, OMPL, UMHL, SHIVM"
2025-12-07,5334415331.059999,0.3203702720613634,"SAGAR, NGPL, BANDIPUR, UMHL, HRL, ALBSL, NRN, NRIC, BUNGAL, GMFIL"
2025-12-08,4669548742.620001,0.30517083320998856,"NGPL, SAGAR, PURE, RADHI, JHAPA, BANDIPUR, UPCL, HIMSTAR, NRN, UNHPL"
2025-12-09,3755027795.9299994,0.2743926704928199,"NGPL, LSL, RADHI, UPCL, HRL, SHIVM, MMKJL, BANDIPUR, SAGAR, NRN"
2025-12-10,3738772373.2400002,0.27524125428588697,"SAIL, NGPL, UPCL, SAGAR, HRL, TPC, BANDIPUR, NRIC, SHIVM, SJLIC"
2025-12-11,3497979756.57,0.25577333545729336,"NGPL, SAIL, SAGAR, NLIC, SHIVM, UMHL, BHCL, CHDC, HRL, BANDIPUR"
2025-12-14,4007455077.0,0.24841411214152456,"KBLPO, NGPL, SHIVM, SAIL, BPCL, SAGAR, CHDC, BANDIPUR, RADHI, HRL"
2025-12-15,3441903770.1799994,0.25699047729441366,"NGPL, LSL, SBI, CHDC, HRL, SAIL, SAGAR, MFIL, NABBC, USHL"
2025-12-16,3294227122.34,0.25205257050102753,"NGPL, LBBL, HRL, CHDC, RADHI, CBBL, CGH, SHIVM, BANDIPUR, SAIL"
2025-12-17,4053720782.1000004,0.26199383228112044,"UNHPL, MFIL, NGPL, HRL, RADHI, BPCL, LBBL, NABBC, GMFIL, CLI"
2025-12-18,4577827903.2,0.26751477646067745,"BHPL, RADHI, BPCL, NGPL, SAPDBL, SNLI, MFIL, RNLI, SARBTM, BANDIPUR"
2025-12-21,4528715671.15,0.2203616536046707,"SWASTIK, BHPL, SNLI, LBBL, NLIC, NGPL, SJLIC, HRL, SAGAR, RFPL"
2025-12-22,3515930718.5000005,0.1997292476797136,"LBBL, SNLI, MFIL, HPPL, CLI, SWASTIK, BANDIPUR, NGPL, HRL, SAGAR"
2025-12-23,3429893942.0699997,0.25820449275044255,"SYPNL, SAGAR, CHDC, LBBL, MFIL, RFPL, NGPL, SHIVM, BHPL, API"
2025-12-24,3224664663.45,0.23392484621733017,"SYPNL, MFIL, TPC, NGPL, SBL, ALBSL, HRL, RADHI, SHIVM, HIMSTAR"
2025-12-28,5531370061.58,0.2983664590375609,"UNHPL, MFIL, SPDL, SYPNL, SHIVM, HRL, BPCL, RADHI, NGPL, SNLI"
2025-12-29,4774786034.55,0.25399831668358713,"SYPNL, MFIL, SHIVM, NGPL, HRL, SAPDBL, BPCL, SAIL, CBBL, RADHI"
2025-12-31,5134850052.25,0.24576916654986242,"GVL, BANDIPUR, SAIL, HRL, SHIVM, NHDL, NGPL, BPCL, UNHPL, SYPNL"
2026-01-01,4713905470.5,0.25687124459276955,"SYPNL, SHIVM, BPCL, BANDIPUR, BUNGAL, SAIL, SAGAR, HRL, MFIL, PURE"
2026-01-04,5017587294.34,0.3413990298549102,"SYPNL, SAIL, BANDIPUR, NICA, SAGAR, MFIL, SANVI, UNHPL, SHIVM, TTL"
2026-01-05,6473736099.27,0.2604411042782732,"SHIVM, BANDIPUR, SYPNL, SAIL, SAGAR, LBBL, DHEL, TTL, SANVI, NRN"
2026-01-06,7123365296.179999,0.28057554855031774,"SYPNL, BPCL, SHIVM, BANDIPUR, MFIL, SAGAR, RADHI, SAIL, SBL, HDL"
2026-01-07,5175091991.599999,0.31119531115853416,"SYPNL, SAIL, MFIL, SHIVM, SAGAR, SANVI, BPCL, BANDIPUR, RADHI, TTL"
2026-01-08,4908094092.74,0.2904595246469982,"SYPNL, BANDIPUR, SANVI, SAGAR, SHIVM, SAIL, MFIL, RADHI, BHPL, BUNGAL"
2026-01-12,6472607801.610001,0.37103649096468216,"SYPNL, RADHI, MFIL, SAIL, SHIVM, SANVI, BANDIPUR, SAGAR, BPCL, TTL"
2026-01-13,6990484039.449999,0.36854539851044427,"RADHI, SYPNL, BPCL, SAIL, DORDI, NGPL, SHIVM, BANDIPUR, LBBL, SANVI"
2026-01-14,6209438906.369999,0.2958076064031656,"RADHI, UNHPL, SYPNL, MFIL, DORDI, BPCL, UMHL, SHPC, SAIL, NABBC"
2026-01-18,8402797775.59,0.30992702713438125,"MFIL, SYPNL, SAIL, BANDIPUR, RADHI, SAGAR, NGPL, LBBL, NRN, BPCL"
2026-01-20,11858421070.669998,0.25262861913459944,"NRN, RADHI, MFIL, GVL, SYPNL, BANDIPUR, AKJCL, UMHL, NGPL, BPCL"
2026-01-21,8923650346.990002,0.31011579489255175,"AKJCL, NRN, HRL, UMHL, RADHI, BPCL, SYPNL, MFIL, NGPL, RFPL"
2026-01-22,9073978098.789999,0.276363540984786,"AKJCL, MFIL, SYPNL, BANDIPUR, SAIL, SANVI, UMHL, NRN, LEC, PURE"
2026-01-25,13785729645.05,0.21775211092855526,"AKJCL, GVL, SHIVM, UMHL, BANDIPUR, HRL, RADHI, NRN, SYPNL, SAIL"
2026-01-26,16355730466.82,0.26499566633190463,"HPPL, AKJCL, MFIL, SYPNL, BANDIPUR, SAIL, SANVI, NRN, NGPL, RADHI"
2026-01-27,14167179442.720001,0.26830193922991763,"RADHI, SYPNL, AKJCL, NGPL, BANDIPUR, SAIL, RFPL, TTL, BPCL, MFIL"
2026-01-28,11493989185.27,0.34044910831435404,"AKJCL, RADHI, SYPNL, UMHL, RFPL, BANDIPUR, PPL, SAIL, TTL, MFIL"
2026-01-29,14563138865.71,0.2813217460863827,"NGPL, SYPNL, UMHL, UNHPL, RADHI, AKJCL, SSHL, HDHPC, SAPDBL, BHL"
2026-02-01,9109457278.449999,0.3460220779515346,"AKJCL, SYPNL, RADHI, UNHPL, SSHL, NGPL, HDHPC, BANDIPUR, SAIL, MFIL"
2026-02-02,8223965669.860001,0.3108579988446765,"AKJCL, SYPNL, BANDIPUR, RADHI, PPL, UNHPL, NGPL, TPC, SAIL, SSHL"
2026-02-03,8631512542.17,0.3330791540015788,"SYPNL, AKJCL, UNHPL, PPL, BANDIPUR, BARUN, SAIL, NABBC, RADHI, NGPL"
2026-02-04,7499742098.460001,0.3779537245530148,"AKJCL, SYPNL, RADHI, SAIL, BANDIPUR, PPL, NGPL, BARUN, SSHL, NRN"
2026-02-05,11582893800.910002,0.3338838727716009,"UNHPL, RADHI, SYPNL, AKJCL, NRN, NLG, NGPL, BANDIPUR, RIDI, NRIC"
2026-02-08,11659752143.11,0.329646062671346,"SMHL, AKJCL, RIDI, RADHI, SYPNL, NGPL, NRN, NRIC, NMIC, KKHC"
2026-02-09,10773915289.220001,0.3476771743924848,"RIDI, SYPNL, AKJCL, LEC, NGPL, RADHI, KKHC, NHPC, HURJA, NABBC"
2026-02-10,8616410132.46,0.3533102323358019,"AHPC, AKJCL, RIDI, UNHPL, AKPL, SYPNL, RADHI, LEC, NGPL, HURJA"
2026-02-11,8692250855.880001,0.39632177005908975,"RIDI, AKJCL, SHEL, SYPNL, UNHPL, NGPL, HURJA, TPC, RADHI, AHPC"
2026-02-12,11102550966.56,0.33141976482546015,"NGPL, SYPNL, RIDI, AKJCL, TPC, HURJA, PHCL, NHPC, SHEL, RADHI"
2026-02-16,7942760220.64,0.4112787203636347,"RIDI, AKJCL, NGPL, SYPNL, KKHC, NHPC, PPL, SAIL, HURJA, SHEL"
2026-02-17,8364424555.43,0.32149172902208795,"RIDI, AKJCL, NGPL, CHDC, SYPNL, RADHI, PPL, KKHC, NRN, BNHC"
2026-02-22,6699721204.4800005,0.3465378640155221,"AKJCL, RIDI, SYPNL, NGPL, RADHI, TVCL, CHDC, MFIL, NRN, TPC"
2026-02-23,5138649946.77,0.3696682991403274,"AKJCL, RIDI, SYPNL, CHDC, NGPL, RADHI, MFIL, NABBC, SAIL, SMHL"
2026-02-24,4232407613.5599995,0.35011171848204914,"SYPNL, AKJCL, RADHI, NGPL, RIDI, SMH, SAIL, NRIC, SMHL, SAHAS"
2026-02-25,4451149080.41,0.33067685692172377,"AKJCL, NGPL, SYPNL, RIDI, BANDIPUR, RADHI, HPPL, SHIVM, KKHC, API"
2026-02-26,4174630515.2799997,0.34057562524300156,"API, AKJCL, SYPNL, NGPL, RIDI, MFIL, RADHI, BPCL, AHPC, UNHPL"
2026-03-01,5648319041.360001,0.392042467021626,"RADHI, API, MFIL, AKJCL, SYPNL, RIDI, NGPL, SHIVM, SAHAS, KBL"
2026-03-03,6234381480.75,0.33705259215982575,"AKJCL, RIDI, SYPNL, MFIL, NGPL, RADHI, KBL, API, SHIVM, SAHAS"
2026-03-09,555963894.6600001,0.3917376536352073,"NABBC, SHIVM, SYPNL, NGPL, RADHI, RIDI, NRIC, AKJCL, API, SAIL"
2026-03-10,21502031320.339996,0.26454122720578643,"NGPL, AKJCL, API, RIDI, SHIVM, HRL, RADHI, UPPER, KBL, SYPNL"
2026-03-11,13180255157.52,0.3175546833485988,"RIDI, AKJCL, NHPC, API, NGPL, SMHL, SHEL, HDHPC, SYPNL, RADHI"
2026-03-12,14551946230.27,0.30387414572778787,"NHPC, HIDCLP, KBL, HDHPC, BHL, RIDI, SSHL, NGPL, LEC, AKJCL"
2026-03-15,14329604315.9,0.3395097078362308,"GLH, RIDI, NHPC, HDHPC, RADHI, HIDCLP, AKJCL, NGPL, UPCL, BHL"
2026-03-16,11974696088.009998,0.3318846815811299,"AKJCL, NHPC, UHEWA, SYPNL, RIDI, HIDCLP, HDHPC, PHCL, MFIL, BHL"
